Kde mozem kupit darcek na narodeniny mame?,navrh_obchodov
Kde kupim pohladnicu na narodeniny mame?,navrh_obchodov
Predavate v Auparku knizky na narodeniny?,navrh_obchodov
V ktorom obchode kupim nejake darceky na narodeniny?,navrh_obchodov
Predavaju v Auparku nejake kvety na narodeniny?,navrh_obchodov
Viem kupit  v Auparku aj sladkosti na narodeniny?,navrh_obchodov
diki,podakovanie
som ti zaviazany,podakovanie
dik,podakovanie
dakujem velmi pekne za radu,podakovanie
vdaka krasne,podakovanie
dakujem pekne,podakovanie
"vdaka za pomoc, mas to u mna",podakovanie
pekny den,pozdravy_ukoncenie
zbohom,pozdravy_ukoncenie
dovi,pozdravy_ukoncenie
dovidenia,pozdravy_ukoncenie
maj sa,pozdravy_ukoncenie
zdravim,pozdravy_uvitanie
ahoj,pozdravy_uvitanie
dobry den,pozdravy_uvitanie
cau,pozdravy_uvitanie
dobre rano,pozdravy_uvitanie
